timestamp	src_ip	query	qtype	rcode	answer_count
2026-01-05 09:00:10	10.0.0.89	evil.example	MX	SERVFAIL	2
2026-01-05 09:00:31	10.0.0.144	example.com	MX	NOERROR	0
2026-01-05 09:01:00	10.0.0.63	updates.vendor	TXT	SERVFAIL	1
2026-01-05 09:01:34	10.0.0.178	mail.example	TXT	NXDOMAIN	0
2026-01-05 09:02:03	10.0.0.25	evil.example	AAAA	NXDOMAIN	1
2026-01-05 09:02:33	10.0.0.80	cdn.example	TXT	SERVFAIL	2
2026-01-05 09:03:02	10.0.0.110	cdn.example	CNAME	SERVFAIL	3
2026-01-05 09:03:31	10.0.0.71	evil.example	CNAME	NOERROR	0
2026-01-05 09:04:10	10.0.0.186	login.example	CNAME	NOERROR	1
2026-01-05 09:04:38	10.0.0.51	login.example	TXT	NXDOMAIN	2
2026-01-05 09:05:01	10.0.0.253	msis.edu	AAAA	NXDOMAIN	1
2026-01-05 09:05:39	10.0.0.94	github.com	CNAME	NOERROR	1
2026-01-05 09:06:06	10.0.0.72	example.com	A	SERVFAIL	2
2026-01-05 09:06:30	10.0.0.180	github.com	TXT	NOERROR	0
2026-01-05 09:07:00	10.0.0.148	evil.example	TXT	NXDOMAIN	3
2026-01-05 09:07:31	10.0.0.89	github.com	A	NXDOMAIN	3
2026-01-05 09:08:03	10.0.0.31	msis.edu	TXT	NXDOMAIN	0
2026-01-05 09:08:33	10.0.0.149	example.com	AAAA	NOERROR	2
2026-01-05 09:09:08	10.0.0.23	login.example	A	SERVFAIL	3
2026-01-05 09:09:39	10.0.0.157	login.example	MX	NXDOMAIN	3
2026-01-05 09:10:00	10.0.0.234	mail.example	CNAME	SERVFAIL	3
2026-01-05 09:10:38	10.0.0.80	example.com	MX	SERVFAIL	0
2026-01-05 09:11:03	10.0.0.244	login.example	AAAA	NXDOMAIN	0
2026-01-05 09:11:40	10.0.0.42	login.example	AAAA	SERVFAIL	0
2026-01-05 09:12:08	10.0.0.42	example.com	TXT	NXDOMAIN	3
2026-01-05 09:12:36	10.0.0.76	example.com	AAAA	NXDOMAIN	2
2026-01-05 09:13:03	10.0.0.181	mail.example	A	SERVFAIL	1
2026-01-05 09:13:37	10.0.0.238	evil.example	MX	SERVFAIL	1
2026-01-05 09:14:09	10.0.0.110	msis.edu	MX	NOERROR	1
2026-01-05 09:14:34	10.0.0.234	evil.example	AAAA	NOERROR	0
2026-01-05 09:15:00	10.0.0.44	evil.example	MX	SERVFAIL	2
2026-01-05 09:15:32	10.0.0.114	msis.edu	TXT	SERVFAIL	2
2026-01-05 09:16:06	10.0.0.181	updates.vendor	CNAME	SERVFAIL	3
2026-01-05 09:16:35	10.0.0.114	msis.edu	MX	NOERROR	3
2026-01-05 09:17:04	10.0.0.190	cdn.example	MX	NXDOMAIN	0
2026-01-05 09:17:32	10.0.0.25	login.example	MX	SERVFAIL	0
2026-01-05 09:18:03	10.0.0.197	evil.example	MX	NOERROR	1
2026-01-05 09:18:35	10.0.0.122	mail.example	CNAME	NOERROR	3
2026-01-05 09:19:01	10.0.0.164	mail.example	A	NXDOMAIN	2
2026-01-05 09:19:31	10.0.0.106	cdn.example	CNAME	SERVFAIL	0
2026-01-05 09:20:06	10.0.0.221	github.com	CNAME	NXDOMAIN	3
2026-01-05 09:20:31	10.0.0.75	updates.vendor	MX	NOERROR	3
2026-01-05 09:21:05	10.0.0.24	cdn.example	CNAME	NXDOMAIN	0
2026-01-05 09:21:35	10.0.0.250	updates.vendor	MX	NOERROR	3
2026-01-05 09:22:09	10.0.0.107	example.com	AAAA	SERVFAIL	2
2026-01-05 09:22:34	10.0.0.161	mail.example	TXT	NOERROR	1
2026-01-05 09:23:00	10.0.0.70	github.com	CNAME	NXDOMAIN	3
2026-01-05 09:23:37	10.0.0.33	example.com	MX	NOERROR	1
2026-01-05 09:24:08	10.0.0.81	example.com	MX	NXDOMAIN	0
2026-01-05 09:24:31	10.0.0.59	msis.edu	TXT	NOERROR	1
2026-01-05 09:25:06	10.0.0.129	evil.example	MX	SERVFAIL	2
2026-01-05 09:25:31	10.0.0.108	mail.example	TXT	NOERROR	3
2026-01-05 09:26:08	10.0.0.143	github.com	TXT	NOERROR	1
2026-01-05 09:26:34	10.0.0.223	msis.edu	CNAME	NXDOMAIN	2
2026-01-05 09:27:10	10.0.0.241	evil.example	A	NXDOMAIN	2
2026-01-05 09:27:39	10.0.0.216	mail.example	AAAA	NXDOMAIN	3
2026-01-05 09:28:05	10.0.0.90	cdn.example	MX	SERVFAIL	3
2026-01-05 09:28:39	10.0.0.118	cdn.example	AAAA	SERVFAIL	1
2026-01-05 09:29:03	10.0.0.148	updates.vendor	AAAA	NXDOMAIN	0
2026-01-05 09:29:31	10.0.0.83	mail.example	TXT	NXDOMAIN	1
2026-01-05 09:30:00	10.0.0.128	example.com	AAAA	SERVFAIL	2
2026-01-05 09:30:40	10.0.0.224	msis.edu	TXT	NOERROR	3
2026-01-05 09:31:03	10.0.0.5	github.com	TXT	SERVFAIL	1
2026-01-05 09:31:34	10.0.0.21	mail.example	CNAME	NXDOMAIN	3
2026-01-05 09:32:01	10.0.0.168	msis.edu	CNAME	SERVFAIL	3
2026-01-05 09:32:33	10.0.0.246	cdn.example	TXT	SERVFAIL	0
2026-01-05 09:33:01	10.0.0.160	msis.edu	AAAA	SERVFAIL	2
2026-01-05 09:33:36	10.0.0.60	msis.edu	TXT	NOERROR	0
2026-01-05 09:34:04	10.0.0.115	github.com	CNAME	NOERROR	0
2026-01-05 09:34:37	10.0.0.85	example.com	CNAME	NXDOMAIN	2
2026-01-05 09:35:10	10.0.0.112	github.com	AAAA	SERVFAIL	3
2026-01-05 09:35:35	10.0.0.146	github.com	AAAA	NOERROR	0
2026-01-05 09:36:02	10.0.0.158	updates.vendor	MX	SERVFAIL	1
2026-01-05 09:36:35	10.0.0.129	github.com	AAAA	NXDOMAIN	2
2026-01-05 09:37:05	10.0.0.119	evil.example	A	NXDOMAIN	2
2026-01-05 09:37:33	10.0.0.175	github.com	A	NXDOMAIN	2
2026-01-05 09:38:10	10.0.0.254	evil.example	TXT	SERVFAIL	2
2026-01-05 09:38:34	10.0.0.118	evil.example	AAAA	NXDOMAIN	3
2026-01-05 09:39:10	10.0.0.29	login.example	TXT	SERVFAIL	2
2026-01-05 09:39:40	10.0.0.149	evil.example	CNAME	NOERROR	3
2026-01-05 09:40:01	10.0.0.72	example.com	MX	SERVFAIL	0
2026-01-05 09:40:39	10.0.0.235	mail.example	CNAME	NOERROR	2
2026-01-05 09:41:10	10.0.0.58	login.example	MX	NXDOMAIN	1
2026-01-05 09:41:32	10.0.0.162	msis.edu	A	NXDOMAIN	3
2026-01-05 09:42:08	10.0.0.10	cdn.example	AAAA	NOERROR	2
2026-01-05 09:42:33	10.0.0.85	updates.vendor	AAAA	NOERROR	1
2026-01-05 09:43:02	10.0.0.203	cdn.example	MX	SERVFAIL	2
2026-01-05 09:43:37	10.0.0.214	github.com	CNAME	NXDOMAIN	2
2026-01-05 09:44:06	10.0.0.193	cdn.example	A	NXDOMAIN	0
2026-01-05 09:44:34	10.0.0.38	login.example	TXT	SERVFAIL	2
2026-01-05 09:45:10	10.0.0.25	updates.vendor	A	NXDOMAIN	0
2026-01-05 09:45:38	10.0.0.118	cdn.example	CNAME	SERVFAIL	3
2026-01-05 09:46:03	10.0.0.212	cdn.example	A	SERVFAIL	1
2026-01-05 09:46:40	10.0.0.122	example.com	MX	SERVFAIL	2
2026-01-05 09:47:05	10.0.0.236	login.example	A	SERVFAIL	3
2026-01-05 09:47:30	10.0.0.234	evil.example	TXT	NOERROR	1
2026-01-05 09:48:03	10.0.0.13	example.com	CNAME	NXDOMAIN	0
2026-01-05 09:48:30	10.0.0.26	login.example	MX	NOERROR	3
2026-01-05 09:49:05	10.0.0.118	cdn.example	MX	NXDOMAIN	1
2026-01-05 09:49:36	10.0.0.228	updates.vendor	A	NXDOMAIN	3
2026-01-05 09:50:04	10.0.0.242	evil.example	A	SERVFAIL	2
2026-01-05 09:50:31	10.0.0.57	mail.example	TXT	NOERROR	2
2026-01-05 09:51:03	10.0.0.27	cdn.example	MX	SERVFAIL	2
2026-01-05 09:51:39	10.0.0.17	updates.vendor	CNAME	NOERROR	0
2026-01-05 09:52:05	10.0.0.244	mail.example	A	SERVFAIL	1
2026-01-05 09:52:33	10.0.0.166	example.com	A	NXDOMAIN	1
2026-01-05 09:53:10	10.0.0.34	login.example	A	SERVFAIL	1
2026-01-05 09:53:37	10.0.0.152	login.example	AAAA	NXDOMAIN	1
2026-01-05 09:54:06	10.0.0.203	example.com	CNAME	NOERROR	1
2026-01-05 09:54:40	10.0.0.140	evil.example	AAAA	NOERROR	0
2026-01-05 09:55:07	10.0.0.35	example.com	CNAME	NOERROR	2
2026-01-05 09:55:32	10.0.0.6	github.com	CNAME	NOERROR	1
2026-01-05 09:56:04	10.0.0.191	updates.vendor	MX	NOERROR	0
2026-01-05 09:56:32	10.0.0.123	mail.example	CNAME	SERVFAIL	0
2026-01-05 09:57:03	10.0.0.117	login.example	MX	NOERROR	2
2026-01-05 09:57:38	10.0.0.119	example.com	A	NXDOMAIN	3
2026-01-05 09:58:08	10.0.0.111	msis.edu	TXT	SERVFAIL	3
2026-01-05 09:58:34	10.0.0.20	msis.edu	CNAME	SERVFAIL	1
2026-01-05 09:59:09	10.0.0.18	github.com	CNAME	SERVFAIL	2
2026-01-05 09:59:36	10.0.0.99	evil.example	TXT	SERVFAIL	3
